date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-06-06T00:00:00.000Z,185.22,185.47,182.15,183.08,22526311,44.63811805,44.6983681824,43.8982464248,44.1223769172,90105244,0.0,1.0
2019-06-07T00:00:00.000Z,190.15,191.92,185.77,186.51,30684393,45.8262506598,46.2528215968,44.7706683412,44.9490087329,122737572,0.0,1.0
2019-06-10T00:00:00.000Z,192.58,195.37,191.62,191.81,26220851,46.4118819462,47.0842734231,46.180521438,46.2263115386,104883404,0.0,1.0
2019-06-11T00:00:00.000Z,194.81,196.0,193.6,194.86,26932882,46.9493131267,47.2361037566,46.6577024861,46.9613631531,107731528,0.0,1.0
2019-06-12T00:00:00.000Z,194.19,195.97,193.39,193.95,18253189,46.7998927985,47.2288737407,46.607092375,46.7420526714,73012756,0.0,1.0
2019-06-13T00:00:00.000Z,194.15,196.79,193.6,194.7,21674625,46.7902527773,47.4264941748,46.6577024861,46.9228030684,86698500,0.0,1.0
2019-06-14T00:00:00.000Z,192.74,193.59,190.3,191.55,18761474,46.4504420309,46.6552924808,45.8624007392,46.1636514009,75045896,0.0,1.0
2019-06-17T00:00:00.000Z,193.89,194.96,192.17,192.9,14669144,46.7275926397,46.9854632061,46.3130717291,46.4890021156,58676576,0.0,1.0
2019-06-18T00:00:00.000Z,198.45,200.29,195.21,196.05,26551004,47.8265550536,48.2699960276,47.0457133384,47.2481537831,106204016,0.0,1.0
2019-06-19T00:00:00.000Z,197.87,199.88,197.31,199.68,21124235,47.6867747465,48.1711858106,47.5518144501,48.1229857047,84496940,0.0,1.0
2019-06-20T00:00:00.000Z,199.46,200.61,198.03,200.37,21513988,48.0699655882,48.347116197,47.7253348312,48.28927607,86055952,0.0,1.0
2019-06-21T00:00:00.000Z,198.78,200.85,198.15,198.8,47800589,47.9060852283,48.4049563241,47.7542548948,47.9109052389,191202356,0.0,1.0
2019-06-24T00:00:00.000Z,198.58,200.16,198.17,198.54,18220421,47.8578851224,48.2386659588,47.7590749054,47.8482451012,72881684,0.0,1.0
2019-06-25T00:00:00.000Z,195.57,199.26,195.29,198.43,21070334,47.132473529,48.0217654824,47.0649933808,47.821735043,84281336,0.0,1.0
2019-06-26T00:00:00.000Z,199.8,200.99,197.35,197.77,26067512,48.1519057682,48.4386963982,47.5614544713,47.6626746936,104270048,0.0,1.0
